a	000124568	013
ab	000012458	003
abelian	002122447	013
absence	001124456	012
absolute	023135566	113
absorbing	000001576	003
absorption	111257534	022
ac	010135677	024
accelerated	000111356	002
acceleration	000011256	002
accelerator	000023237	012
acceptor	211264323	021
acceptors	232245433	122
accumulation	000021136	002
accuracy	001023458	013
accurate	121143346	012
acid	001112326	002
acoustic	010112357	013
actinide	043343225	122
action	000133687	013
actions	000121556	003
activated	000136446	022
activation	010235546	023
active	000011447	002
activity	000012237	002
adaptive	000000458	003
adatom	000122644	012
adatoms	000002455	002
addendum	134422133	111
additional	111324233	011
adhesion	000001246	002
adiabatic	000112247	012
ads	000000135	001
adsorbate	001365464	022
adsorbates	000325434	022
adsorbed	012565655	033
adsorption	000124567	013
ag	001246667	023
aggregates	000166444	022
aggregation	000166566	023
aging	000000266	002
aharonov	000024556	013
air	010011257	002
al	001158776	023
alas	000037520	021
alfv	212224647	113
algebra	520000000	100
algebraic	120136435	022
algorithm	000011378	003
algorithms	000002266	002
aligned	000013546	013
alignment	001123457	013
alkali	432156532	122
alkaline	212233235	112
all	000001237	002
alloy	011255777	024
alloying	000013455	002
alloys	252356444	122
aln	000000457	003
alpha	754534110	320
alphen	432011132	101
alternating	000012367	003
alternative	001123346	012
aluminum	452332124	211
amorphization	000135555	013
amorphous	023577655	133
amplification	110024656	013
amplifier	000125524	012
amplitude	240134555	113
amplitudes	571122324	211
an	000123568	013
analog	461223232	211
analyses	122325565	113
analysis	000123568	013
analytic	011345566	023
analytical	000013457	013
analyzing	012544422	021
anchoring	000003456	003
anderson	001234457	023
andreev	000001357	002
angle	001233457	013
angles	334423546	223
angular	012223447	013
anharmonic	011136633	022
anharmonicity	132336534	122
anisotropic	000023567	013
anisotropies	000013657	013
anisotropy	001024677	013
annealed	101244644	022
annealing	100123555	012
annihilation	012134446	012
annihilations	433552236	222
anomalies	122254556	123
anomalous	011134678	014
anomaly	011254578	024
ansatz	000145445	022
anti	000011377	003
antiferroelectric	000001462	002
antiferromagnet	000125457	013
antiferromagnetic	000023567	013
antiferromagnetism	200023366	012
antiferromagnets	011125545	012
antiproton	231246445	122
apparent	111122445	012
appearance	012113454	012
application	021345568	023
applications	001033346	012
applied	111234446	012
approach	001134668	014
approaches	011114358	013
approximate	230234345	112
approximation	023346568	123
approximations	233465445	122
aqueous	000001345	002
ar	043257433	122
arbitrary	010113458	013
are	012122367	013
argon	263245322	221
array	000012467	003
arrays	000013557	003
arsenic	311163323	121
arsenide	221025313	111
artificial	000000254	002
as	000134446	012
aspects	112235455	022
assembled	000000377	003
assembly	000000037	002
assisted	000001346	002
associated	111133347	012
astrophysical	000011146	002
asymmetric	000012357	003
asymmetries	000012346	002
asymmetry	000122358	013
asymptotic	244224556	213
asymptotically	025111344	102
atmospheric	000001454	002
atom	011234668	013
atomic	011134578	013
atomistic	000000137	002
atoms	011234568	013
attachment	200022446	012
attenuation	663241112	210
attosecond	000000016	001
attraction	000002256	002
attractive	000002356	002
attractor	000135456	023
attractors	000143553	012
au	000023467	013
auger	023456544	132
augmented	412334335	122
autocorrelation	032434344	122
