a	-12366.79	-26695.31	14614.38	-2058.82	2542.11	131.99	1434.26	582.3	61.57	12.58	308.42	14.85	-200.68	-278.39	-11.85	-205.27	391.51	518	-161.27	-249.99	132.98	-47.86	227.17	74.68	-113.54	186.85	460.34	-102.94	-135.2	211.85	442.5	-178.2	-115.67	-55.85
ab	-5329.59	-22792.33	13872.12	-1986.99	2595.1	-31.94	314.44	1444.22	-1279.77	1336.98	27.94	-565.18	167.13	-341.76	53.43	-52.06	430.49	670	-319.45	-37.56	-122.09	-542.21	498.07	328.72	-643.01	593.05	55.2	350.47	67.45	447.19	49.92	-163.49	163.65	-71.32
abelian	-12267.97	-19238.03	13201.39	-3778.83	212.42	-4746.03	2777.95	-220.22	-1427.96	-265.05	-2293.6	64.24	-61.17	-1110.63	-280.39	-223.87	1968.07	487.1	-1532.32	1148.43	-771.91	1794.29	1597.85	528.36	466.59	2243.28	1390.03	1013.36	-319.28	373.22	687.79	-9.17	-778.22	855.63
absence	-14129.07	-20353.49	10756.03	-2194.54	2214.53	-1102.33	3601.32	-184.96	1570.99	-2113.32	-879.37	370.66	174.68	1852.2	1541.82	-979.13	661.25	1438.4	7.02	-510.53	-249.72	222.55	-308.44	1622.78	-127.89	-876.43	489.86	-540.12	1362.38	422.63	141.97	235.1	865.38	739.43
absolute	-20332.22	-21121.37	14885.93	-1567.16	1150.87	194.05	-1399.23	-1832.25	1405	894.34	-2406.61	-2129.06	-4731.61	-1759.64	-2276.96	360.9	-1870.36	-153.61	-1637.76	-2314.09	-802.62	-1910.26	2008.02	2317.26	270.4	-240.64	1455.44	665.11	1674.96	1749.94	1285.28	-2939.71	772.62	-1999.34
absorbing	-6617.41	-22924.05	14321.41	2392.33	-3676.55	477.63	3982.24	-35.11	-1110.31	1945	237.62	4660.89	451.18	727.53	-303.4	-209.73	-623.03	2581.9	-813.49	-1466.65	-82.28	-298.05	-573.82	590.17	-768.96	-769.59	-188.89	-352.54	827.42	940.99	-1746.03	-72.82	-463.18	663.61
absorption	-23329.18	-19121	4850.5	-2086.12	6171.61	738.53	142.31	-291.17	1280.66	2059.32	-907.72	285.79	223.12	1834.14	1470.17	-917.36	1029.25	8.36	-613.76	-2120.96	-1144.92	-100.62	532.9	1240.34	-830.78	-1164.51	2132.41	-2106.69	-422.19	197.56	1518.56	448.22	-95.5	-629.88
ac	-18485.85	-27969.91	12431.7	1193.34	2081.17	230.22	2513.83	2728.81	1712.84	1211.46	-629	294.22	310.48	-1538.73	373.32	735.45	-173.73	-1433.27	108.51	1552.7	-788.07	1477.83	872.44	138.32	-726.53	411.75	894.89	639.33	-20.64	515.81	1048.01	308.98	-176.34	-1170.31
accelerated	-7481.4	-19288.32	13330.08	-2269.69	162.17	1724.62	503.25	2733.41	-1488.09	-1608.1	573.26	-1745.74	-1269.5	-4148.75	645.07	-1558.8	-2604.43	863.71	381.16	-11.01	623.23	-62.43	548.65	2611.37	-276.7	-1013.99	846.03	1066.24	357.07	1613.08	-1876.57	-82.05	598.38	-371.12
acceleration	-4743.08	-17529.98	12954.18	-3315.57	1754.02	2023.18	-165.47	2353.25	-767.87	-2127.96	-291.12	-1036.6	-1831.18	-367.94	-905.55	2223.25	-52.31	787.99	-228.94	-563.38	-805.06	11.58	1140.59	-424.23	-777.26	-897.75	534.68	74.49	-73.87	-802.87	1128.46	-23.4	-343.57	-999.33
