a	011134578	000111
ab	000012458	000011
abelian	002122547	000011
absence	011234456	000011
absolute	244345576	000111
absorbing	000101576	000011
absorption	333467656	001111
ac	110235677	000111
accelerated	000111356	000011
acceleration	000011256	000001
accelerator	000023247	000001
acceptor	222365333	001100
acceptors	232245433	000100
accumulation	000021136	000001
accuracy	001023458	000011
accurate	121143446	000011
acid	001112326	000001
acoustic	121222457	000011
actinide	043343235	000001
action	000133687	000011
actions	000121656	000011
activated	000136446	000101
activation	010235546	000111
active	000011447	000001
activity	000012337	000001
adaptive	000001458	000011
adatom	000122645	000011
adatoms	000012455	000011
addendum	134422133	010000
additional	111324233	000000
adhesion	000001246	000001
adiabatic	000113247	000001
ads	000000135	000001
adsorbate	001365564	001111
adsorbates	000325434	000001
adsorbed	012565655	001111
adsorption	000124567	000111
ag	112246667	000111
aggregates	000166444	000110
aggregation	000166566	000111
aging	000000266	000011
aharonov	000024556	000011
air	010011257	000001
al	111268776	000111
alas	000047520	000100
alfv	212224648	000111
algebra	520001000	100000
algebraic	120136445	000101
algorithm	000011378	000011
algorithms	000002266	000011
aligned	000013546	000011
alignment	001123457	000011
alkali	554467654	101110
alkaline	212233235	000001
all	000101247	000001
alloy	122356777	001111
alloying	000013455	000011
alloys	575577666	111111
aln	000000457	000011
alpha	754534110	111000
alphen	432011132	000000
alternating	000012367	000011
alternative	001123346	000001
aluminum	564554345	111011
amorphization	000135555	000111
amorphous	023577655	001111
amplification	110024656	000111
amplifier	000125534	000101
amplitude	352345666	100111
amplitudes	672233435	100001
an	111124568	000011
analog	562323233	100000
analyses	233335566	000111
analysis	121234668	000111
analytic	111345566	000111
analytical	000013457	000011
analyzing	012544422	001000
anchoring	000003456	000011
anderson	001234457	000111
andreev	000001357	000011
angle	112344567	000011
angles	445544556	111111
angular	445455667	011111
anharmonic	121237633	000110
anharmonicity	132336534	000101
anisotropic	011124567	000011
anisotropies	000013657	000011
anisotropy	011124677	000111
annealed	101244644	000111
annealing	100123555	000011
annihilation	234345557	000111
annihilations	433552236	011001
anomalies	122354556	001111
anomalous	122234678	000111
anomaly	112354678	001111
ansatz	000145445	000111
anti	000011377	000011
antiferroelectric	000001462	000010
antiferromagnet	011126557	000111
antiferromagnetic	111124667	000011
antiferromagnetism	200123366	000011
antiferromagnets	011125546	000111
antiproton	231246445	000111
apparent	111122445	000011
appearance	012123464	000011
application	233455678	001111
applications	111134346	000001
applied	112234446	000101
approach	011234668	000111
approaches	011114358	000001
approximate	342345455	000111
approximation	244557678	011111
approximations	233465445	001111
aqueous	000001345	000001
ar	255368554	011111
arbitrary	111123458	000011
are	012122368	000011
argon	475456544	111111
array	000012467	000011
arrays	000013557	000011
arsenic	311163323	000000
arsenide	221025313	000100
artificial	000000254	000011
