word,y1965,y1966,y1967,y1968,y1969,y1970,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009
a,0,0,0,4,5,5,6,7,8,7,9,8,9,10,10,8,11,14,16,17,22,27,28,31,35,36,40,45,52,55,62,60,57,63,62,68,72,79,75,84,94,93,93,100,98
ab,0,0,1,0,0,1,0,0,0,1,1,1,3,2,4,4,4,8,5,5,9,8,18,14,13,17,18,29,29,35,41,40,45,50,50,50,53,62,64,68,88,100,98,97,81
abelian,1,1,1,1,0,3,3,0,10,16,32,37,33,40,20,15,15,25,20,15,20,37,28,30,23,40,23,18,33,49,55,38,54,74,54,54,42,57,42,47,54,81,61,100,96
absence,5,5,5,5,14,0,11,5,8,17,8,5,8,23,17,8,14,32,23,20,32,23,35,26,47,29,50,47,61,50,47,44,50,73,55,50,50,70,47,70,67,44,55,73,100
absolute,25,16,4,4,0,29,12,41,50,33,20,41,33,45,37,4,12,29,8,50,33,25,58,33,50,45,62,75,75,33,70,62,79,50,33,62,66,100,75,79,41,91,75,95,50
absorbing,0,4,0,4,0,4,14,4,0,9,4,4,9,4,0,14,4,33,0,4,4,4,19,9,14,0,19,14,14,9,33,52,57,80,80,85,100,71,61,76,100,47,71,100,61
absorption,11,14,18,0,23,7,10,13,15,13,17,8,11,8,25,20,17,7,30,38,38,57,46,64,84,50,100,88,93,76,77,69,53,68,45,53,30,61,27,38,63,42,55,54,42
ac,12,2,10,12,7,23,5,12,10,12,7,0,10,15,2,17,10,20,20,38,35,38,35,35,35,46,51,56,69,100,76,84,74,87,61,94,82,92,79,66,82,94,64,97,76
accelerated,5,10,5,5,5,0,0,5,15,10,5,0,5,10,5,5,25,35,10,10,20,20,25,15,15,5,20,25,40,20,25,30,70,35,30,40,65,50,100,65,70,100,60,70,75
acceleration,7,1,0,1,9,9,3,7,0,1,9,5,3,7,3,3,5,1,15,22,15,13,16,16,5,9,24,24,18,20,37,24,18,33,30,28,47,49,62,94,62,100,62,77,69
accelerator,14,9,14,4,0,0,0,4,9,14,9,0,4,0,9,9,0,9,4,0,28,33,38,33,23,33,52,14,28,42,33,19,47,23,19,28,23,28,52,90,66,95,57,76,100
acceptor,11,5,17,41,47,23,5,5,11,23,17,29,11,23,23,29,0,23,47,47,94,35,76,100,41,47,64,41,58,52,58,11,64,17,17,29,23,35,35,23,52,5,23,41,47
acceptors,12,25,62,25,0,25,50,25,75,0,25,12,50,25,25,0,25,12,75,25,37,100,62,50,25,87,12,87,75,37,75,37,25,50,37,75,37,25,37,25,37,25,50,25,62
accumulation,5,0,0,0,0,0,5,10,5,10,0,10,10,0,30,0,15,5,0,0,30,25,10,25,55,25,10,20,20,0,25,15,0,5,15,30,30,45,40,70,55,70,100,55,60
accuracy,14,7,14,0,14,14,7,0,0,28,7,7,7,14,28,21,14,7,0,0,21,14,21,21,42,50,50,28,21,35,57,21,50,64,42,92,57,42,71,50,100,100,100,100,92
accurate,0,18,13,36,22,13,31,50,18,9,0,13,18,4,22,9,9,22,13,22,22,54,31,50,68,50,13,45,63,18,31,40,50,50,40,36,68,27,50,81,54,54,72,100,81
acid,0,0,0,7,7,0,0,15,7,7,23,7,7,7,15,7,30,7,23,23,15,15,15,15,15,23,15,15,53,7,15,53,46,38,30,15,0,53,15,38,76,76,53,100,53
acoustic,4,1,1,8,13,1,17,30,18,12,12,12,8,0,12,6,17,10,18,29,5,20,32,24,17,17,20,24,36,36,62,36,45,38,41,46,73,72,54,65,78,82,88,100,82
actinide,0,0,0,11,22,22,33,88,33,88,44,33,11,66,22,44,33,55,44,33,22,55,66,22,88,55,33,33,22,33,11,55,0,44,22,22,55,0,22,66,44,22,88,55,100
action,4,9,0,0,9,9,2,9,7,9,4,4,11,4,11,4,16,11,16,38,30,71,35,33,38,38,26,38,59,45,78,50,42,90,92,100,95,95,88,71,66,83,80,88,73
actions,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,8,25,16,8,25,41,8,41,16,16,0,25,0,25,33,50,33,66,83,100,91,25,16,83,66,66,50,91,58,100
activated,0,0,0,5,5,11,5,16,0,5,5,0,5,0,5,0,11,27,27,22,44,33,27,38,33,33,50,100,77,100,61,66,27,61,50,50,38,33,50,61,55,66,50,94,72
activation,0,0,16,16,11,22,22,16,5,16,16,0,0,0,0,33,5,16,16,44,44,16,11,72,72,50,50,77,77,50,44,61,44,94,66,44,66,38,27,61,72,100,77,50,72
active,2,4,4,6,0,6,4,4,9,2,0,13,6,4,4,0,11,9,16,6,16,11,9,18,23,9,25,11,20,30,25,58,39,55,48,41,51,37,48,60,81,76,65,93,100
activity,0,4,4,9,4,4,0,9,4,9,4,4,4,0,4,0,4,4,23,9,28,19,23,19,14,19,23,19,42,23,9,38,42,42,33,9,38,28,95,47,61,80,100,76,95
adaptive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,16,0,22,16,50,22,50,55,50,72,66,72,22,61,83,100,83,88,94
