ab	82.29	77.27	88.24	80.69
abelian	17.46	70.95	35.3	17.12
ablation	48.78	58.43	41.18	51.95
absence	17.46	68.39	52.95	25.69
absolute	30.21	68.52	58.83	47.03
absorbing	34.12	54.74	47.06	38.19
absorption	86.59	84.27	58.83	86.47
ac	56.12	64.58	47.06	57.96
accelerated	29.01	53.3	35.3	32.6
acceleration	39.51	70.51	52.95	52.49
accelerator	34.12	59.22	11.77	39.26
acceptor	49.54	59.56	52.95	51.19
acceptors	40.04	53.3	17.65	40.72
accumulation	40.04	61.63	35.3	45.26
accuracy	22.57	58.01	23.53	28.45
accurate	24.52	62.94	52.95	33.46
acid	20.28	43.18	52.95	31.69
acoustic	65.08	67.96	41.18	66.01
actinide	44.8	50.52	52.95	44.94
action	64.41	66.15	52.95	63.6
actions	42.85	50.8	58.83	42.43
activated	46.48	54.95	41.18	45.58
activation	46.16	56.26	29.42	46.18
active	42.43	57.22	52.95	44.61
activity	42.43	45.92	52.95	42.43
adaptive	24.52	49.98	82.36	27.14
adatom	31.31	63.25	41.18	49.51
adatoms	31.31	61.14	58.83	43.57
addendum	0	43.58	64.71	8.56
additional	17.46	45.61	35.3	24.04
adhesion	17.46	44.15	70.59	24.04
adiabatic	58.99	75.08	47.06	58.84
ads	0	63.22	88.24	0
adsorbate	43.27	64.73	47.06	45.26
adsorbates	22.57	54.77	23.53	36.38
adsorbed	54.73	69.88	47.06	60.33
adsorption	54.73	76.35	58.83	67.56
affine	51.38	48.35	47.06	50.79
ag	0	77.65	47.06	8.56
aggregates	43.27	59.24	64.71	44.94
aggregation	63.55	71.33	82.36	63.6
aging	27.68	62.95	88.24	35.71
aharonov	0	72.27	70.59	0
air	41.98	50.85	29.42	45.58
al	83.12	85.08	58.83	81.58
alas	0	75.55	82.36	0
alfv	0	45.12	47.06	0
algebra	41.53	66.19	94.12	44.94
algebraic	38.36	56.07	29.42	39.26
algorithm	38.36	67.67	76.48	55.03
algorithms	36.42	58.89	52.95	48.58
aligned	35.7	53.68	41.18	38.19
alignment	38.94	61.06	41.18	45.26
alkali	76.75	70.05	58.83	76.88
alkaline	61.43	53.58	58.83	60.42
alloy	52	71.67	41.18	56.65
alloying	37.74	49.25	29.42	37.01
alloys	64.49	78.66	70.59	70.55
aln	0	58.65	76.48	0
alpha	49.78	63.12	64.71	48.82
alphen	0	59.03	88.24	0
alternating	36.42	61.37	35.3	45.58
alternative	29.01	56.02	41.18	33.46
aluminum	47.96	66.79	82.36	50.59
amorphization	47.68	53.64	70.59	48.08
amorphous	78.92	79.92	41.18	79.38
amplification	44.8	63.77	29.42	44.94
amplifier	43.27	56.64	29.42	43.2
amplitude	52.6	66.96	52.95	56.52
amplitudes	57.11	69.7	58.83	60.04
analog	51.59	58.28	58.83	50.79
analyses	37.1	57.94	58.83	48.08
analysis	59.11	80.57	58.83	72.69
analytic	34.93	60.68	47.06	40.72
analytical	39.51	62.1	58.83	43.2
analyzing	58.15	66.89	64.71	57.02
anchoring	37.1	62.14	64.71	51.57
anderson	0	73.43	29.42	0
