abc	40.33	21.21	80.96	40.33
abend	29.41	30.34	61.91	29.41
abenteuer	26.04	30.34	33.34	30.11
abgeordnete	36.19	46.47	52.39	38.92
abgeordneten	37.3	21.21	80.96	37.64
abgrund	33.06	60.42	57.15	33.06
abitur	21.13	14.47	52.39	29.41
abkommen	28.66	47.94	33.34	34.96
abrechnung	30.11	14.47	66.67	31.39
abroad	65.32	0	100	65.42
abrüstung	0	30.34	95.24	0
absage	30.77	27.4	66.67	30.77
abschied	41.34	41.88	47.62	42.48
abseits	35.79	27.4	52.39	35.79
abstieg	25.01	25.64	66.67	25
absturz	27.86	47.23	42.86	30.77
abwehr	26.99	28.95	76.2	26.98
abzug	31.39	55.99	61.91	40.59
achse	48.5	21.21	85.72	48.5
achtung	28.66	31.6	57.15	28.66
adam	30.77	30.34	90.48	39.5
adenauer	46.6	14.47	76.2	46.59
administratives	81.32	39.48	100	81.31
adolf	50.85	18.27	80.96	52.26
aeg	31.39	0	80.96	34.96
afd	23.86	43.91	95.24	35.38
affäre	0	62.76	61.91	0
affären	0	18.27	76.2	0
afghanistan	50.65	72.55	95.24	54.56
afrika	33.57	53.96	33.34	38.29
agrarpolitik	33.57	27.4	90.48	33.57
aids	30.11	21.21	71.43	38.92
airbus	26.99	45.25	33.34	30.77
akt	34.96	25.64	66.67	34.96
akte	33.06	27.4	95.24	33.57
akten	36.94	47.59	76.2	37.97
aktien	43.72	33.8	47.62	50.01
aktion	59.3	53.96	71.43	59.74
aktionäre	0	31.6	47.62	0
aktuell	34.05	30.34	90.48	34.05
aktuelle	55.91	18.27	90.48	55.9
aktuelles	63.4	0	100	70.93
akw	34.05	64.05	100	39.5
al	34.05	59.88	85.72	41.34
alarm	31.39	25.64	57.15	32.53
albert	31.98	53.96	57.15	31.97
alexander	28.66	42.94	52.39	33.06
alfred	28.66	40.12	66.67	36.57
algerien	26.99	38.09	57.15	26.98
alkohol	19.46	30.34	33.34	26.04
all	31.39	46.85	57.15	42.48
allianz	28.66	28.95	47.62	35.79
alltag	40.59	38.09	38.1	40.59
alpen	27.86	14.47	33.34	30.77
alptraum	36.94	25.64	52.39	37.97
alt	40.06	40.73	76.2	46.14
alte	40.33	47.23	66.67	47.03
alten	39.79	46.47	61.91	46.59
alter	34.05	44.38	28.58	41.34
alternative	39.79	42.94	42.86	41.34
alternativen	29.41	30.34	76.2	32.53
altes	36.19	25.64	61.91	37.97
amerika	38.92	57.91	52.39	52.69
amerikaner	37.64	42.42	61.91	46.44
amerikanische	32.53	40.73	71.43	45.33
amerikanischen	28.66	34.78	76.2	38.61
amerikanischer	37.97	23.61	80.96	40.85
amerikas	33.06	48.61	47.62	36.94
amoklauf	17.48	44.82	95.24	19.46
amp	66.9	61.46	95.24	66.89
amsterdam	27.86	23.61	66.67	30.77
amt	29.41	35.69	66.67	43.12
analyse	31.39	23.61	61.91	36.94
analysiert	31.39	23.61	66.67	39.5
and	33.06	35.69	57.15	38.61
andreas	30.77	33.8	80.96	34.96
andr�	0	0	90.48	0
anerkennung	23.86	35.69	42.86	28.66
anfang	41.58	41.88	57.15	42.26
angeblich	26.04	41.88	71.43	33.57
